Round Number,Date,Location,Home Team,Away Team,Result
1,19/08/2018 22:15,Estadio Santiago Bernabéu,Real Madrid,Getafe CF,2 , 0
2,26/08/2018 22:15,Estadio Municipal de Montilivi,Girona FC,Real Madrid,1 , 4
3,01/09/2018 20:45,Estadio Santiago Bernabéu,Real Madrid,CD Leganés,4 , 1
4,15/09/2018 20:45,Estadio San Mamés,Athletic Club,Real Madrid,1 , 1
5,22/09/2018 20:45,Estadio Santiago Bernabéu,Real Madrid,RCD Espanyol,1 , 0
6,26/09/2018 22:00,Ramón Sánchez-Pizjuán,Sevilla FC,Real Madrid,3 , 0
7,29/09/2018 20:45,Estadio Santiago Bernabéu,Real Madrid,Atlético de Madrid,0 , 0
8,06/10/2018 20:45,Mendizorroza,D. Alavés,Real Madrid,1 , 0
9,20/10/2018 13:00,Estadio Santiago Bernabéu,Real Madrid,Levante UD,1 , 2
10,28/10/2018 16:15,Camp Nou,FC Barcelona,Real Madrid,5 , 1
11,03/11/2018 16:15,Estadio Santiago Bernabéu,Real Madrid,R. Valladolid CF,2 , 0
12,11/11/2018 20:45,Estadio Abanca Balaídos,RC Celta,Real Madrid,2 , 4
13,24/11/2018 13:00,Municipal de Ipurua,SD Eibar,Real Madrid,3 , 0
14,01/12/2018 20:45,Estadio Santiago Bernabéu,Real Madrid,Valencia CF,2 , 0
15,09/12/2018 16:15,El Alcoraz,SD Huesca,Real Madrid,0 , 1
16,15/12/2018 18:30,Estadio Santiago Bernabéu,Real Madrid,Rayo Vallecano,1 , 0
17,03/01/2019 21:30,Estadio de la Cerámica,Villarreal CF,Real Madrid,2 , 2
18,06/01/2019 18:30,Estadio Santiago Bernabéu,Real Madrid,Real Sociedad,0 , 2
19,13/01/2019 20:45,Estadio Benito Villamarín,Real Betis,Real Madrid,1 , 2
20,19/01/2019 16:15,Estadio Santiago Bernabéu,Real Madrid,Sevilla FC,2 , 0
21,27/01/2019 20:45,RCDE Stadium,RCD Espanyol,Real Madrid,2 , 4
22,03/02/2019 20:45,Estadio Santiago Bernabéu,Real Madrid,D. Alavés,
23,09/02/2019 16:15,Wanda Metropolitano,Atlético de Madrid,Real Madrid,
24,17/02/2019 12:00,Estadio Santiago Bernabéu,Real Madrid,Girona FC,
25,24/02/2019 12:00,Estadio Ciutat de València,Levante UD,Real Madrid,
26,03/03/2019 12:00,Estadio Santiago Bernabéu,Real Madrid,FC Barcelona,
27,10/03/2019 12:00,Estadio Municipal José Zorrilla,R. Valladolid CF,Real Madrid,
28,17/03/2019 12:00,Estadio Santiago Bernabéu,Real Madrid,RC Celta,
29,31/03/2019 12:00,Estadio Santiago Bernabéu,Real Madrid,SD Huesca,
30,03/04/2019 12:00,Estadio de Mestalla,Valencia CF,Real Madrid,
31,07/04/2019 12:00,Estadio Santiago Bernabéu,Real Madrid,SD Eibar,
32,14/04/2019 12:00,Estadio Municipal Butarque,CD Leganés,Real Madrid,
33,21/04/2019 12:00,Estadio Santiago Bernabéu,Real Madrid,Athletic Club,
34,24/04/2019 12:00,Coliseum Alfonso Pérez,Getafe CF,Real Madrid,
35,28/04/2019 12:00,Estadio de Vallecas,Rayo Vallecano,Real Madrid,
36,05/05/2019 12:00,Estadio Santiago Bernabéu,Real Madrid,Villarreal CF,
37,12/05/2019 12:00,Estadio de Anoeta,Real Sociedad,Real Madrid,
38,19/05/2019 12:00,Estadio Santiago Bernabéu,Real Madrid,Real Betis,
